shot,backlog_median,backlog_p10,backlog_p90,queue_depth_median,queue_depth_p10,queue_depth_p90,delay_median,delay_p10,delay_p90,activation_rate_percent,cumulative_delay_median,cumulative_delay_p25,cumulative_delay_p75
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,968,846,981,0,0,0,0,0,0,0,0,0,0
3,1451,1140.6,1534.2,1,1,1,0,0,0,0,0,0,0
4,1849,1393.3,2082.1,2,1,2,0,0,0,0,0,0,0
5,2217,1639.3,2478.5,2,1.7,2,0,0,0,0,0,0,0
6,2764,1856.1,2911.1,2,2,2,0,0,0,0,0,0,0
7,3195.5,2148.4,3333.1,3,2.7,3,0,0,0,0,0,0,0
8,3563.5,2467.3,3775.1,3,2.7,4,0,0,0,0,0,0,0
9,3954,2887.9,4126.3,4,3.4,4,0,0,0,0,0,0,0
10,4349.5,3263.4,4506.9,4,3.7,5,0,0,0,0,0,0,0
11,4779.5,3591.4,5002.7,5,4.4,5,0,0,179.3,25,0,0,0
12,5274.5,3882.1,5372,5.5,4.4,6,287,0,688.5,62.5,0,0,0.022
13,5073.5,4004,5779.9,5,4.7,6,886.5,0,1122.6,75,0.287,0,0.561
14,4515.5,3735.6,5256.3,4.5,4,6,490.5,0,1361,62.5,1.248,0.59,1.684
15,4132.5,3500.5,4951.5,4,4,4.6,0,0,612.2,25,2.123,1.371,2.312
16,4535,3256.2,5301.6,5,4,5.6,0,0,80.4,12.5,2.123,1.371,2.792
17,5023.5,3399.4,5554.1,5,4.7,6.3,15.5,0,338.8,50,2.123,1.438,2.792
18,5134.5,3565,5766.3,5.5,5,6,252.5,0,728.8,50,2.22,1.672,2.792
19,5114.5,3696.2,5532.6,6,5.7,6,420,233.8,945.9,87.5,2.69,2.274,2.927
20,4375,3491.8,5453.4,5.5,5,6,704,0,834.8,62.5,3.276,2.896,3.615
21,4013,3309.1,5131.3,5,4.7,6.3,103.5,0,500.5,50,3.867,3.335,4.199
22,3716.5,3418.1,5107.7,5,5,7,0,0,397.8,37.5,4.15,3.335,4.643
23,3746.5,3320.6,5525.5,5,4.7,6.3,0,0,47.9,37.5,4.188,3.415,4.708
24,3851.5,3445.4,5645.2,6,5,7.3,0,0,403,37.5,4.231,3.423,4.714
25,3720.5,3357.4,5479.7,5.5,5,7.6,0,0,294.7,25,4.415,3.423,5.16
26,3794,3411.5,5131.6,6,5,7.6,0,0,454,25,4.609,3.423,5.341
27,3813,3483.7,4843.7,6,5.7,7.6,0,0,618.6,25,4.609,3.423,5.476
28,3823,3540.4,4584.1,6,5.7,8,0,0,572.3,25,4.609,3.423,5.476
29,3717,2818.2,4171.5,7,4.8,7.3,0,0,435.3,25,4.609,3.423,5.476
30,3703.5,2316.4,4224.3,6.5,4.1,8,,,,,4.609,3.533,5.476
